horizon,rmse,mae
98 days,9892.218543336789,7299.655752853156
99 days,10354.906481232174,7481.833943880476
100 days,10563.746466834735,7596.5450241845465
101 days,10798.876150513552,7689.276096645143
102 days,10782.120470694555,7644.783505467979
103 days,10859.358435272896,7717.05278590225
104 days,10599.859503984984,7661.257992959425
105 days,10301.365278145251,7534.5782955493
106 days,10267.893030165545,7499.30558282026
107 days,10139.02840006336,7369.039350603785
108 days,10051.568044860069,7277.040800182441
109 days,10062.114700199372,7303.123120809903
110 days,10175.623231155645,7379.4418008356415
111 days,10215.368090556403,7430.697905152137
112 days,10195.767681582916,7394.631799382657
113 days,10226.27238669345,7429.6190810349535
114 days,10052.34063738861,7376.961907109565
115 days,9748.469690781343,7190.36704636307
116 days,9969.20196507911,7274.121070051231
117 days,11129.140744522985,7538.34128901678
118 days,11218.849676480979,7491.047566657281
119 days,11198.034690966642,7427.798458274215
120 days,11238.656866217501,7467.68554769181
121 days,11201.629198518647,7439.363445308381
122 days,11167.209718661214,7416.108903959442
123 days,11281.692737756408,7511.055500568521
124 days,11334.313069897216,7577.518037285465
125 days,11330.951746307102,7571.000302334903
126 days,11258.734347120555,7494.580393838543
127 days,11429.350236262078,7518.329686449863
128 days,11392.388765576829,7509.442425615287
129 days,11303.440242284785,7446.924021756622
130 days,11267.476364127766,7409.562401829125
131 days,11621.285470039964,7600.0612118799245
132 days,11608.822742993767,7605.423590244605
133 days,11511.28635767383,7501.848768706626
134 days,11449.36029145931,7423.80578896964
135 days,11288.696630799654,7363.370274345665
136 days,10937.507953773178,7189.3401083403205
137 days,10635.31258078647,7011.439082410868
138 days,10486.66109882415,6961.540872141323
139 days,10475.500007476776,6969.954381295626
140 days,10446.670977867656,6929.57354747941
141 days,10562.320444130435,6997.459951729546
142 days,10579.268002977375,7011.622479622297
143 days,10606.453176035799,7060.816630948207
144 days,10636.727559025612,7100.865473590576
145 days,10739.790720811008,7178.724452311799
146 days,10666.899395401299,7100.715922299826
147 days,10603.14536306848,7046.675944068448
148 days,10597.480217581875,7030.442423783227
149 days,11269.116361477803,7234.248604208267
150 days,11287.994572751115,7276.46162108207
151 days,11326.630747513536,7322.642275014397
152 days,11476.53778188014,7470.76609301845
153 days,10954.264977690136,7422.878207723301
154 days,10326.30632962293,7314.308709769543
155 days,10193.870521695035,7281.300663673499
156 days,10202.206454799649,7310.6288078785155
157 days,10170.623911797715,7296.741737398099
158 days,10186.78127719759,7343.413625513426
159 days,10613.768908850474,7521.406141847509
160 days,10527.139439384155,7449.812978071719
161 days,10514.587165748979,7475.161379682825
162 days,10808.871536164117,7632.554718714102
163 days,10821.046245660995,7724.899302599076
164 days,10744.15216408866,7725.201322576609
165 days,10750.992462650433,7722.002808980235
166 days,10717.354701675475,7666.238614029416
167 days,10491.153260151252,7538.002841574317
168 days,10260.726047030656,7420.230196676716
169 days,10196.003898166126,7324.536002464486
170 days,10304.659664699368,7400.589066648323
171 days,10293.000149672462,7417.192081330132
172 days,10243.314882871331,7369.1005044004205
173 days,10373.490886598993,7463.333393457328
174 days,10422.025504562213,7538.844443126347
175 days,10457.70100524309,7566.296225337627
176 days,10439.203159373481,7547.519281334953
177 days,10497.95366036512,7589.708152982396
178 days,10473.552507734847,7575.697244605158
179 days,10452.110003005104,7539.4335706434895
180 days,10960.067701361471,7709.4898401505425
181 days,10902.937898665277,7688.273631334659
182 days,10840.488672262218,7618.698415231231
183 days,10837.269353046137,7613.171975867245
184 days,10899.088845552726,7670.372103877802
185 days,10571.470192707238,7603.398042548132
186 days,10218.83063596603,7473.063581917671
187 days,10145.868624279401,7373.175723624852
188 days,9934.07414819374,7203.155852256167
189 days,9664.517465160146,6977.469489522524
190 days,9538.796839794979,6848.926348316982
191 days,9578.696279424585,6833.595523112443
192 days,9594.710864402043,6836.546093773113
193 days,9526.007674798973,6751.944410826979
194 days,9493.458949998074,6708.611456454289
195 days,9261.453218276405,6618.2233257421485
196 days,9016.82609647847,6525.390116601049
197 days,9291.459461823495,6614.713597827583
198 days,10517.18417725148,6804.624231674712
199 days,10638.95073370622,6773.391045822661
200 days,10738.155554777713,6793.941012917425
201 days,10865.091848832237,6884.640914974143
202 days,10885.003934782815,6892.992094862493
203 days,10907.421362813318,6923.835512137441
204 days,11101.350273783355,7018.536056671835
205 days,11155.245343025334,7097.842079150333
206 days,11163.600000617385,7148.372376703126
207 days,11101.842898142833,7097.332762497933
208 days,11268.594222694743,7157.330622885704
209 days,11208.408058735715,7120.071764519115
210 days,11108.710952811469,7002.400916670796
211 days,11096.962858933217,6986.393779482609
212 days,11606.740426032511,7234.4302220334175
213 days,11655.878094586746,7313.605310295763
214 days,11588.555712518495,7284.658523075865
215 days,11552.615616737668,7244.330181682669
216 days,11362.611063445567,7238.394874892802
217 days,11140.934653129318,7182.891719834818
218 days,11209.685953110049,7224.409384066738
219 days,11295.549671562549,7335.613948053854
220 days,11229.015435373805,7238.476211778047
221 days,11198.345334169624,7214.1964018390345
222 days,11235.194623574354,7199.450424436914
223 days,11209.055473322336,7185.591317359498
224 days,11259.2432690141,7237.418032860938
225 days,11259.985607756324,7235.501243339214
226 days,11324.918380609086,7311.0002242633755
227 days,11338.801543762956,7328.393882047366
228 days,11268.425792826954,7278.65268622308
229 days,11259.268963130884,7280.7759939996085
230 days,11337.491923304568,7385.384056876562
231 days,11323.753465958334,7354.394898318885
232 days,11342.673893797271,7387.160842404745
233 days,11494.982066394163,7502.336773623594
