horizon,rmse,mae
158 days,4188.90097193366,3084.9531176362552
159 days,4235.94223142929,3131.688540088498
160 days,4203.391338610284,3091.258031374074
161 days,4146.985528126624,3042.680421359452
162 days,4085.231238031324,2995.596089407165
163 days,4049.0989651535806,2979.9138750349457
164 days,4039.949973238052,2975.45619344974
165 days,4079.3376463867794,2999.5457776242
166 days,4133.3623977484785,3050.2782970933795
167 days,4182.648345292538,3106.1827984680694
168 days,4253.082690388306,3168.2029884855583
169 days,4232.929647076155,3168.8154657422583
170 days,4229.518578615113,3179.9698438491328
171 days,4233.4345538443695,3179.1108108237067
172 days,4344.002974690445,3234.1597848723923
173 days,4358.320962248793,3254.8520265515644
174 days,4331.2534862352395,3241.4557487234106
175 days,4246.581987058838,3190.7280189097946
176 days,4162.39032458964,3135.3631163289774
177 days,4087.9480619363367,3085.2132022855317
178 days,4047.135822490278,3062.6368488356943
179 days,4170.3500786895565,3132.7015376746867
180 days,4214.385375929201,3169.755646355261
181 days,4160.815826025724,3142.880115181442
182 days,4102.741673633559,3115.7063027366594
183 days,4092.022210430768,3101.4178271399924
184 days,4106.859384656855,3125.0466459500426
185 days,4112.773428921555,3136.1023266243938
186 days,4128.922625891084,3150.629889868934
187 days,4128.974046779998,3122.564005559092
188 days,4059.1164547632607,3068.063899642271
189 days,3968.7581845227983,3017.3544159377752
190 days,3948.5008110958734,3008.703834954991
191 days,3918.547756812966,2976.256743289385
192 days,3902.385269451894,2963.20590229189
193 days,3937.529070011016,2984.2070145427697
194 days,3990.4690553860273,3035.1227242240448
195 days,4049.3881003652064,3059.172930859887
196 days,4044.3421170927927,3065.456307133531
197 days,4080.6099072419684,3090.023817476042
198 days,4079.2058141468956,3090.8312288205393
199 days,4093.9876317398043,3092.3506084705637
200 days,4116.015974983097,3120.396188968569
201 days,4120.628489101686,3128.835247840773
202 days,4060.265116063587,3066.698787699732
203 days,4051.3450627653024,3051.8368564137772
204 days,4001.1059330404546,3020.154736729911
205 days,3972.222764067067,2999.232161158943
206 days,4010.3907763055854,3031.621858310829
207 days,4041.6247554222123,3046.0612713954924
208 days,4027.589735752287,3058.923736850743
209 days,3966.8057470772296,3040.202920930022
210 days,3963.822223183561,3016.4389792352467
211 days,3968.375554453408,3015.649099412602
212 days,3966.094197098996,3012.6299142981975
213 days,3945.636838508417,2986.819250248323
214 days,3957.347834884611,2977.67935312549
215 days,3898.736902607731,2931.2624021418196
216 days,3803.9800899233196,2873.6924748141387
217 days,3777.537172109696,2836.184496441594
218 days,3747.297075442295,2810.0711307363254
219 days,3733.4099737421634,2801.2051626714797
220 days,3753.06481934983,2807.1997151864525
221 days,3767.2102579499747,2826.0611789078503
222 days,3842.1374600508375,2840.180108424776
223 days,3830.866325286796,2839.922601760151
224 days,3853.2557932951236,2845.5008877483274
225 days,3849.316631537522,2841.9436438490275
226 days,3858.929590266199,2849.883181001009
227 days,3858.3858044114986,2858.5914338705884
228 days,3884.1053325358143,2884.05623229156
229 days,3860.4253204970923,2861.763961620663
230 days,3831.318241497781,2843.102398855524
231 days,3774.156083961703,2803.412783238412
232 days,3723.184575906123,2768.3255721042356
233 days,3721.9725201455176,2770.8517894077695
234 days,3742.904022270995,2781.908960551007
235 days,3816.381355472326,2840.2271101039387
236 days,3853.9411334401,2879.785062209403
237 days,3821.7883146857657,2832.6803581216886
238 days,3805.2418246350353,2823.531718899189
239 days,3767.897169236572,2785.7278566111713
240 days,3710.821821966272,2722.0259968418145
241 days,3705.7187761811697,2705.2458299364134
242 days,3672.1717151089824,2685.7209948222467
243 days,3625.392065688399,2650.3462931370254
244 days,3561.162107777173,2595.0350150553177
245 days,3540.3771759043816,2576.400884157448
246 days,3519.1973766137626,2573.5535103205225
247 days,3551.860578681755,2618.032573987297
248 days,3575.655801978604,2644.5916733134122
249 days,3687.8814511686096,2691.8771836097317
250 days,3678.048536455822,2695.4628439602966
251 days,3654.602682907812,2689.6146012750623
252 days,3618.520565295221,2667.4321478512156
253 days,3605.214238593095,2674.294778962421
254 days,3580.6762418952508,2673.9696853114115
255 days,3577.417733177098,2668.086988437187
256 days,3552.7085562842276,2654.8475371155437
257 days,3537.0106246534183,2646.1662704356017
258 days,3460.679454691106,2592.3366812403765
259 days,3424.35272980245,2571.5017313967724
260 days,3416.646315434364,2571.0361899872837
261 days,3407.219807272672,2570.869079786362
262 days,3446.42676763339,2595.052388765929
263 days,3499.9618401921957,2633.7820103419103
264 days,3487.1366043057646,2602.241780406663
265 days,3503.4139399694786,2610.831514509643
266 days,3476.904606284348,2577.505169252298
267 days,3447.622274118923,2545.8601691229123
268 days,3469.9005217276012,2560.845285991463
269 days,3464.8782237378346,2562.1648701522618
270 days,3440.4161996493085,2542.734353256715
271 days,3389.092544770056,2505.8852746120774
272 days,3326.041455342428,2446.760575129906
273 days,3318.915350764511,2438.880417169679
274 days,3334.6493393839387,2458.0136179398382
275 days,3354.151064759099,2472.0205756774667
276 days,3450.377428859099,2532.896340046092
277 days,3461.2759284610574,2538.2870386322197
278 days,3476.1805613084875,2545.7147209348554
279 days,3469.351952991734,2533.8747055697945
280 days,3468.965180002,2544.679165029955
281 days,3458.5003839247574,2551.182311706934
282 days,3457.0649978217943,2555.37694920402
283 days,3487.221770320611,2570.928417651002
284 days,3467.273778040274,2547.628463987467
285 days,3396.3650013255,2514.172287993848
286 days,3362.956136044315,2507.736040897974
287 days,3360.4290725523742,2497.833199916722
288 days,3365.355621742223,2499.190621415278
289 days,3431.5572225597016,2534.5603846788467
290 days,3435.2237545064895,2538.873631221641
291 days,3418.9658317794697,2515.737463123179
292 days,3443.092632943603,2510.3938844228724
293 days,3426.6897923444703,2485.361618082664
294 days,3438.8628822076794,2488.670509628267
295 days,3490.658069274098,2531.2843058945145
296 days,3472.158945639549,2530.0877843500393
297 days,3461.2532583266848,2518.4698929340084
298 days,3431.7881577701137,2495.3567185376955
299 days,3382.38642286478,2461.683314990585
300 days,3368.2424355194557,2465.450405691101
301 days,3343.395968315918,2448.222430734234
302 days,3321.414413548546,2430.4243944952195
303 days,3372.70382834275,2464.6019401860904
304 days,3336.841631113614,2428.100722727035
305 days,3319.6936015104575,2417.242058767166
306 days,3315.82046038925,2421.9108295636697
307 days,3297.1750996144956,2417.5348033572027
308 days,3286.998368110548,2412.178927427914
309 days,3268.990956915035,2415.6722698175104
310 days,3304.5642529890474,2441.4022625153966
311 days,3338.7607005292593,2451.096639419085
312 days,3301.9976343407716,2422.9968036328924
313 days,3293.966544114249,2429.625156589449
314 days,3289.7887765232713,2429.584455051115
315 days,3273.642112848647,2424.530885554714
316 days,3336.655880677837,2460.7954629001392
317 days,3353.4354125948253,2468.2930817353827
318 days,3336.841770492291,2450.1371741215908
319 days,3282.7628923314433,2393.620428256158
320 days,3255.833947898358,2372.9747708807536
321 days,3251.5654296986663,2366.575215559573
322 days,3290.5781849517202,2389.8530985944126
323 days,3269.6859476743425,2374.8303969296644
324 days,3300.4340486757224,2396.802344271398
325 days,3282.9915821906643,2389.4826975428964
326 days,3293.788426891015,2401.5181421419347
327 days,3391.149410357655,2477.719099252062
328 days,3457.3859550841366,2514.836663337084
329 days,3463.7230436734512,2526.8940776256577
330 days,3473.400485479649,2543.445361326822
331 days,3439.35945792261,2512.9419014110554
332 days,3411.874337253861,2497.445033136494
333 days,3414.548579970413,2506.490075323578
334 days,3398.7877093187435,2500.8850832470516
335 days,3394.6097337296414,2489.5600121221887
336 days,3383.3618111326027,2476.9119227346646
337 days,3431.3769388189153,2509.069261996617
338 days,3486.627403925417,2554.907123715677
339 days,3470.8622210401722,2545.1663849014567
340 days,3491.7575888432434,2579.8947253146416
341 days,3541.8237384098015,2629.807723755663
342 days,3535.7661294590093,2626.3273785048855
343 days,3549.867248091411,2637.97578292013
344 days,3569.9285446048802,2660.468550539508
345 days,3564.4938027014987,2661.640301335053
346 days,3546.195461660304,2642.839606101621
347 days,3535.575308800486,2637.4621459378177
348 days,3551.909648449629,2671.242020885739
349 days,3538.39164117114,2671.2463892276196
350 days,3499.0729378827627,2636.3264244143215
351 days,3478.1437785418652,2610.7264569838917
352 days,3449.5115240987184,2576.293781911227
353 days,3474.6918580344777,2593.6431187426247
354 days,3581.7040419666196,2661.028387227856
355 days,3701.119331375984,2730.109805992361
356 days,3739.997784647668,2754.1106858374815
357 days,3744.751090247406,2764.8861331816643
358 days,3747.965498391944,2764.2805637907804
359 days,3754.353566969418,2773.621295538894
360 days,3762.252782140061,2781.8343582875177
361 days,3742.958536067424,2767.087945065166
362 days,3749.4826359427175,2759.8524781760757
363 days,3703.1738573348484,2734.535445844971
364 days,3694.9626477089205,2735.827918302806
365 days,3673.9814105435967,2731.284410429286
