Model,R²,Adj_R²,RMSE
Total Orders,0.5972923679853732,0.5323395241120463,56.908932068304175
Net Sales,0.5965368197827529,0.5314621132961002,25621.64476815062
Total Units,0.6265457179190876,0.566311156293134,77.89564027683251
