Model,MAE,RMSE,NRMSE,R2,SMAPE,WMAPE,Platform
Hybrid_lazada,318.37,1181.55,0.3305,0.8481,13.82,8.91,lazada
Hybrid_shopee,318.37,1181.55,0.3305,0.8481,13.82,8.91,shopee
