changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,daily_seasonality,weekly_seasonality,yearly_seasonality,rmse
0.5,0.01,additive,False,False,False,2293.941430544002
0.5,1.0,additive,False,False,False,2293.941430544002
0.5,0.05,additive,False,False,False,2293.941430544002
0.5,0.1,additive,False,False,False,2293.941430544002
0.5,5.0,additive,False,False,False,2293.941430544002
0.5,0.5,additive,True,False,False,2294.0004381760004
0.5,0.1,additive,True,False,False,2295.1876845081533
0.5,5.0,additive,True,False,False,2295.216750939379
0.5,0.05,additive,True,False,False,2296.2437750564286
0.5,1.0,additive,True,False,False,2296.372626469778
0.05,0.01,additive,True,False,True,2296.4081065216546
0.5,0.01,additive,True,False,False,2296.627459139534
0.05,0.1,additive,True,True,True,2297.639198182706
0.05,0.01,additive,True,True,True,2298.340344156466
0.05,0.01,additive,False,False,True,2298.9889794376245
0.5,1.0,additive,True,True,False,2299.0068566459245
0.05,0.01,additive,False,True,True,2299.245085386075
0.5,5.0,additive,False,True,False,2299.463450294176
0.5,0.5,additive,True,True,False,2299.8039876731355
0.5,0.05,additive,True,True,False,2300.17161184858
0.5,5.0,additive,True,True,False,2300.1796684975448
0.5,0.01,additive,True,True,False,2300.29752113478
0.5,0.1,additive,False,True,False,2300.5661903671667
0.05,5.0,additive,True,False,True,2300.5744122058773
0.5,0.01,additive,False,True,False,2301.3268697139447
0.5,0.1,additive,True,True,False,2301.386142430423
0.5,0.05,additive,False,True,False,2301.495698842332
0.05,10.0,additive,False,False,True,2301.624598710747
0.05,5.0,additive,False,False,True,2301.654059136585
0.5,0.5,additive,False,True,False,2301.7670783068193
0.05,5.0,additive,True,True,True,2301.9788058765143
0.05,0.1,additive,True,False,True,2302.679136283277
0.05,0.05,additive,False,False,True,2302.8516195635466
0.5,10.0,additive,False,True,False,2303.1056866815607
0.05,1.0,additive,True,False,True,2303.5848907349477
0.05,1.0,additive,False,False,True,2304.029846023304
0.05,0.5,additive,True,False,True,2304.460241590891
0.5,10.0,additive,True,True,False,2304.7657274384737
0.05,0.1,additive,False,False,True,2304.997558723031
0.05,1.0,additive,False,True,True,2305.3401540759855
0.5,1.0,additive,False,True,False,2305.5499545446555
0.05,0.05,additive,True,False,True,2305.5514621423004
0.05,0.5,additive,False,False,True,2305.933193670658
0.05,0.5,additive,False,True,True,2307.0916855657797
0.05,5.0,multiplicative,False,True,False,2307.9737300326683
0.1,1.0,multiplicative,True,False,False,2308.334167577997
0.05,5.0,additive,False,True,True,2308.515397067191
0.05,0.5,additive,True,True,True,2309.3679713490064
0.1,10.0,multiplicative,True,False,False,2310.1121741222782
0.1,0.5,multiplicative,True,False,False,2310.4899971617524
0.05,0.05,additive,False,True,True,2311.072354599607
0.05,10.0,additive,True,True,True,2311.12446925418
0.05,10.0,additive,False,True,True,2311.796980309218
0.05,0.05,additive,True,True,True,2312.2706939982395
0.05,0.1,additive,False,True,True,2313.0049462708544
0.1,5.0,multiplicative,True,False,False,2313.205678025355
0.05,1.0,additive,True,True,True,2313.2515914300293
0.1,0.01,multiplicative,True,True,False,2319.507334324723
0.1,0.1,multiplicative,True,False,False,2321.0802672620775
0.1,0.01,multiplicative,True,False,False,2321.6186306421305
0.1,0.05,multiplicative,True,False,False,2323.237784563019
0.1,1.0,multiplicative,False,False,False,2325.535030547063
0.1,0.05,multiplicative,False,False,False,2325.535030547063
0.1,0.1,multiplicative,False,False,False,2325.535030547063
0.1,10.0,multiplicative,False,False,False,2325.535030547063
0.1,0.5,multiplicative,False,False,False,2325.535030547063
0.1,0.01,multiplicative,False,False,False,2325.535030547063
0.1,5.0,multiplicative,False,False,False,2325.535030547063
0.1,0.01,multiplicative,False,True,False,2332.1992522369023
0.1,1.0,multiplicative,True,True,False,2333.312402515907
0.1,0.01,multiplicative,False,False,True,2335.133729140575
0.5,0.01,multiplicative,True,False,False,2336.345477377371
0.1,0.5,multiplicative,True,True,False,2337.1704953881876
0.1,0.05,multiplicative,True,True,False,2338.473753139232
0.5,0.05,multiplicative,True,False,False,2338.7597670302002
0.5,0.01,multiplicative,False,True,False,2339.4857038337527
0.1,0.01,multiplicative,False,True,True,2340.630374264361
0.5,0.01,multiplicative,True,True,False,2342.4770208215646
0.1,5.0,multiplicative,True,True,False,2342.6702062643812
0.5,0.1,multiplicative,True,False,False,2342.740180068137
0.5,10.0,multiplicative,False,False,False,2342.961328327677
0.5,5.0,multiplicative,False,False,False,2342.961328327677
0.5,0.5,multiplicative,False,False,False,2342.961328327677
0.5,0.1,multiplicative,False,False,False,2342.961328327677
0.5,1.0,multiplicative,False,False,False,2342.961328327677
0.5,0.05,multiplicative,False,False,False,2342.961328327677
0.5,0.01,multiplicative,False,False,False,2342.961328327677
0.1,10.0,multiplicative,True,True,False,2343.376611080861
0.1,0.01,multiplicative,True,False,True,2344.5337120587824
0.1,0.01,multiplicative,True,True,True,2345.9388012572413
0.1,0.1,multiplicative,False,True,False,2346.1543958388656
0.1,0.05,multiplicative,False,True,False,2347.8462697983755
0.1,0.1,multiplicative,True,True,False,2350.500029611928
0.1,1.0,multiplicative,False,True,False,2353.371375135382
0.1,0.5,multiplicative,False,True,False,2354.2498924639044
0.1,10.0,multiplicative,False,True,False,2354.2914352360435
0.5,0.01,multiplicative,True,True,True,2356.150113318972
0.5,0.05,multiplicative,True,True,False,2356.906177031463
0.5,0.05,multiplicative,False,True,False,2357.1415011677723
0.1,5.0,multiplicative,False,True,False,2357.4299950305694
0.5,0.01,multiplicative,False,True,True,2359.5816944928497
0.5,0.01,multiplicative,True,False,True,2363.3642927465794
0.5,0.1,multiplicative,True,True,False,2363.448981213212
0.5,0.1,multiplicative,False,True,False,2365.8831617512037
0.5,0.01,multiplicative,False,False,True,2366.681325183258
0.5,0.5,multiplicative,False,True,False,2367.921811726761
0.5,0.01,additive,False,False,True,2376.4251949318405
0.5,10.0,multiplicative,False,True,False,2378.976494938922
0.5,0.01,additive,True,False,True,2379.0352745509995
0.05,0.05,multiplicative,False,False,True,2380.3948274288987
0.5,0.01,additive,False,True,True,2381.8616382729665
0.5,0.01,additive,True,True,True,2381.911278313205
0.5,1.0,multiplicative,False,True,False,2386.348586059249
0.05,0.05,multiplicative,False,True,True,2391.1573540277723
0.05,0.05,multiplicative,True,False,True,2401.573703619426
0.5,5.0,multiplicative,True,False,False,2405.6483527920404
0.5,0.5,multiplicative,True,False,False,2405.6938150798155
0.5,1.0,multiplicative,True,False,False,2408.115649052248
0.5,0.5,additive,False,False,True,2408.157256792584
0.5,0.1,additive,True,False,True,2409.3209481180243
0.5,5.0,additive,True,True,True,2410.8411423652133
0.5,5.0,additive,True,False,True,2412.9426489946195
0.05,0.05,multiplicative,True,True,True,2413.3367231704074
0.5,0.05,additive,False,False,True,2413.605541285205
0.5,5.0,additive,False,False,True,2414.017689938179
0.5,1.0,additive,False,False,True,2414.307931206459
0.5,10.0,additive,False,False,True,2414.94959455217
0.5,0.05,additive,True,False,True,2415.222671512617
0.5,10.0,additive,True,False,True,2416.7204905204985
0.5,0.5,additive,True,False,True,2416.9825592493307
0.5,0.1,additive,False,False,True,2418.676786192034
0.5,10.0,additive,False,True,True,2418.7121447917716
0.5,0.05,additive,True,True,True,2419.681389025376
0.5,0.1,additive,True,True,True,2419.7712492736546
0.5,5.0,additive,False,True,True,2420.0620696515443
0.5,10.0,multiplicative,True,False,False,2420.2815254042007
0.5,0.05,additive,False,True,True,2421.891133367402
0.5,1.0,additive,True,True,True,2422.8886823584653
0.5,0.5,additive,True,True,True,2423.6434821631187
0.5,1.0,additive,False,True,True,2424.2270966634146
0.5,0.5,additive,False,True,True,2424.302400347402
0.5,0.1,additive,False,True,True,2424.910434341945
0.5,10.0,additive,True,True,True,2425.2254161598175
0.5,5.0,multiplicative,True,True,False,2429.4511552010695
0.5,1.0,additive,True,False,True,2431.9496849024777
0.5,0.5,multiplicative,True,True,False,2432.652187511447
0.5,10.0,multiplicative,True,True,False,2434.638911662555
0.5,5.0,multiplicative,False,True,False,2439.082540647549
0.5,1.0,multiplicative,True,True,False,2445.2404333172994
0.05,0.1,multiplicative,False,False,True,2449.9547446615934
0.05,0.1,multiplicative,True,False,True,2465.7382648287603
0.01,0.1,multiplicative,True,True,False,2468.0551408240813
0.05,0.1,multiplicative,False,True,True,2474.3334240151676
0.05,0.1,multiplicative,True,True,True,2496.191380915106
0.05,10.0,multiplicative,False,True,True,2499.9970985295968
0.01,5.0,additive,True,False,False,2501.038280431107
0.01,0.1,additive,False,False,False,2503.2728017700506
0.01,5.0,additive,False,False,False,2503.2728017700506
0.01,0.05,additive,False,False,False,2503.2728017700506
0.01,10.0,additive,False,False,False,2503.2728017700506
0.01,0.01,additive,False,False,False,2503.2728017700506
0.01,1.0,additive,False,False,False,2503.2728017700506
0.01,0.5,additive,False,False,False,2503.2728017700506
0.01,10.0,additive,True,True,False,2505.710228035284
0.1,0.05,multiplicative,False,False,True,2507.2626122750944
0.01,0.01,additive,False,True,False,2508.3435033204005
0.05,5.0,multiplicative,True,False,True,2508.4455547059947
0.01,0.5,multiplicative,True,False,False,2508.58260852215
0.01,0.5,additive,True,True,False,2509.176196343064
0.01,0.1,additive,True,False,False,2509.44213698223
0.01,0.01,multiplicative,False,True,False,2511.0915777815667
0.05,0.5,multiplicative,False,False,True,2511.3926053806113
0.05,1.0,multiplicative,True,False,True,2511.6769678365067
0.01,0.1,multiplicative,False,True,False,2511.731961946808
0.01,5.0,multiplicative,True,False,False,2512.107102152721
0.05,5.0,multiplicative,False,True,True,2512.35180277581
0.01,1.0,additive,True,False,False,2512.6400667531684
0.01,0.5,additive,True,False,False,2512.8889717604384
0.01,0.5,additive,False,True,False,2513.277484267864
0.05,5.0,multiplicative,False,False,True,2513.358806335207
0.01,0.5,multiplicative,False,True,False,2513.7762794993655
