Model,Base MAE,Base RMSE,Base NRMSE,Base R2,Base SMAPE,Base WMAPE,Hybrid MAE,Hybrid RMSE,Hybrid NRMSE,Hybrid R2,Hybrid SMAPE,Hybrid WMAPE
SNaive,5694.81,11161.5,0.7411,0.2803,49.65,37.81,1194.45,4342.25,0.2881,0.8911,13.86,7.93
ARIMA,5681.78,11218.93,0.7449,0.2729,49.55,37.72,1116.37,4167.08,0.2765,0.8997,13.85,7.41
ARIMAX,5197.3,9844.37,0.6536,0.4401,36.28,34.51,865.91,2964.81,0.1967,0.9492,11.83,5.75
SARIMA,5694.81,11161.5,0.7411,0.2803,49.65,37.81,1194.45,4342.25,0.2881,0.8911,13.86,7.93
SARIMAX,5216.82,9794.57,0.6503,0.4458,37.04,34.64,849.72,3069.32,0.2037,0.9456,11.31,5.64
Holt-Winters,5681.78,11218.93,0.7449,0.2729,49.55,37.72,1116.37,4167.08,0.2765,0.8997,13.85,7.41
Prophet,5409.73,10101.94,0.6707,0.4104,38.43,35.92,894.91,3112.65,0.2066,0.944,11.3,5.94
