ds,daily_items_sold,daily_net_sales,avg_discount_rate_daily,is_mega_sale_day,is_payday,platform_name,scaled_discount_rate,is_weekend,lag_1_net_sales,lag_7_net_sales,lag_14_net_sales,lag_30_net_sales,lag_60_net_sales,rolling_7_net_sales,rolling_14_net_sales,daily_sales_growth_smoothed,daily_growth_rate,scaled_discount_on_event,fourier_week_fourier_1,fourier_week_fourier_2,fourier_week_fourier_3,fourier_week_fourier_4,fourier_week_fourier_5,fourier_week_fourier_6,fourier_month_fourier_1,fourier_month_fourier_2,fourier_month_fourier_3,fourier_month_fourier_4,fourier_month_fourier_5,fourier_month_fourier_6,fourier_month_fourier_7,fourier_month_fourier_8,fourier_year_fourier_1,fourier_year_fourier_2,fourier_year_fourier_3,fourier_year_fourier_4,fourier_year_fourier_5,fourier_year_fourier_6,fourier_year_fourier_7,fourier_year_fourier_8,fourier_year_fourier_9,fourier_year_fourier_10,fourier_year_fourier_11,fourier_year_fourier_12,fourier_year_fourier_13,fourier_year_fourier_14,fourier_year_fourier_15,fourier_year_fourier_16,fourier_year_fourier_17,fourier_year_fourier_18,fourier_year_fourier_19,fourier_year_fourier_20
2020-09-19,1.0,198.0,0.0,0,0,Shopee,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2020-09-20,0.0,0.0,0.0,0,0,Shopee,0.0,1,198.0,0.0,0.0,0.0,0.0,198.0,198.0,-1.0,-1.0,0.0,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,0.2045520661262008,0.9788556850953578,0.40045390565126643,0.9163169044870048,0.5794210982045637,0.8150283375168114,0.733885366432199,0.6792733388972931,0.017201575418260506,0.9998520419557735,0.03439806061360801,0.9994082116062598,0.051584366869408364,0.9986686402879997,0.06875540848113941,0.9976335468520451,0.08590610426133272,0.9963032375991965,0.10303137904317879,0.9946781061893646,0.1201261651823505,0.9927586335250793,0.13718540405660057,0.9905453876091833,0.1542040475626894,0.988039023376751,0.17117705961019986,0.985240282501282
2020-09-21,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,-1.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,0.40045390565126643,0.9163169044870048,0.733885366432199,0.6792733388972931,0.9444892287836613,0.32854238191083485,0.9970175264485267,-0.07717546212664618,0.03439806061360801,0.9994082116062598,0.06875540848113941,0.9976335468520451,0.10303137904317879,0.9946781061893646,0.13718540405660057,0.9905453876091833,0.17117705961019986,0.985240282501282,0.20496611396949532,0.9787690698649216,0.23851257519407648,0.9711394088771653,0.2717767384711357,0.9623603298276545,0.3047192331091634,0.9524422234305676,0.3373010691361842,0.9413968285264122
2020-09-22,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,-1.0,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,0.5794210982045637,0.8150283375168114,0.9444892287836613,0.32854238191083485,0.9601498736716018,-0.2794856348516094,0.620609481827423,-0.7841198065767103,0.051584366869408364,0.9986686402879997,0.10303137904317879,0.9946781061893646,0.1542040475626894,0.988039023376751,0.20496611396949532,0.9787690698649216,0.2551824131233728,0.9668929289391521,0.3047192331091634,0.9524422234305676,0.3534446712740877,0.9354554315134164,0.4012289854475009,0.9159777842484877,0.44794493940789115,0.8940611451454876,0.49346814167723735,0.8697638720650646
2020-09-23,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,49.5,49.5,-1.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,0.733885366432199,0.6792733388972931,0.9970175264485267,-0.07717546212664618,0.620609481827423,-0.7841198065767103,-0.15389057670406148,-0.9880878960910772,0.06875540848113941,0.9976335468520451,0.13718540405660057,0.9905453876091833,0.20496611396949532,0.9787690698649216,0.2717767384711357,0.9623603298276545,0.3373010691361842,0.9413968285264122,0.4012289854475009,0.9159777842484877,0.4632579225674917,0.88622350294858,0.5230943033491326,0.8522748088519838,0.580454927809098,0.8142923779467267,0.6350683134867438,0.7724559775191742
2020-09-24,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,39.6,-1.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,0.8573146280763323,0.5147928015098308,0.8826787983255474,-0.46997674302732007,0.05147875477034673,-0.9986740898848305,-0.8296770135526189,-0.5582437220268648,0.08590610426133272,0.9963032375991965,0.17117705961019986,0.985240282501282,0.2551824131233728,0.9668929289391521,0.3373010691361842,0.9413968285264122,0.4169258813287287,0.908940487313808,0.49346814167723735,0.8697638720650646,0.5663619330814524,0.8241566360566663,0.6350683134867438,0.7724559775191742,0.6990793005655562,0.7150441465537444,0.7579216274973472,0.6523456189565257
2020-09-25,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,-1.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,0.9444892287836613,0.32854238191083485,0.620609481827423,-0.7841198065767103,-0.5366961939916003,-0.8437755598231858,-0.9732643737003827,0.22968774213179508,0.10303137904317879,0.9946781061893646,0.20496611396949532,0.9787690698649216,0.3047192331091634,0.9524422234305676,0.4012289854475009,0.9159777842484877,0.49346814167723735,0.8697638720650646,0.580454927809098,0.8142923779467267,0.6612634749656386,0.7501537286959042,0.7350336741329413,0.6780306024735382,0.8009803309782905,0.5986906625177214,0.8584015232918917,0.512978386299228
2020-09-26,0.0,0.0,0.0,0,0,Shopee,0.0,1,0.0,198.0,0.0,0.0,0.0,28.285714285714285,28.285714285714285,-1.0,0.0,0.0,-2.4492935982947064e-16,1.0,-4.898587196589413e-16,1.0,-7.347880794884119e-16,1.0,0.9917226741361015,0.12839835514655099,0.2546711202412288,-0.9670277247913204,-0.9263239682514951,-0.3767278936351848,-0.4925480679538645,0.8702852410301551,0.1201261651823505,0.9927586335250793,0.23851257519407648,0.9711394088771653,0.3534446712740877,0.9354554315134164,0.4632579225674917,0.88622350294858,0.5663619330814524,0.8241566360566663,0.6612634749656386,0.7501537286959042,0.746588114532413,0.6652865452111116,0.8211001178128892,0.5707841943569036,0.8837203473619977,0.4680153284438345,0.9335418911179212,0.35846832151248087
2020-09-27,0.0,0.0,0.0,0,0,Shopee,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,24.75,0.0,0.0,0.0,0.7818314824680296,0.6234898018587337,0.9749279121818237,-0.22252093395631387,0.4338837391175589,-0.9009688679024188,0.9970175264485267,-0.07717546212664618,-0.15389057670406148,-0.9880878960910772,-0.9732643737003827,0.22968774213179508,0.30411483232751724,0.9526353808033827,0.13718540405660057,0.9905453876091833,0.2717767384711357,0.9623603298276545,0.4012289854475009,0.9159777842484877,0.5230943033491326,0.8522748088519838,0.6350683134867438,0.7724559775191742,0.7350336741329413,0.6780306024735382,0.8211001178128892,0.5707841943569036,0.8916401947968874,0.45274469960737107,0.945320046913132,0.3261441535642696,0.981124629771712,0.19337647441020586
2020-09-28,0.0,0.0,0.0,0,0,Shopee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.9749279121818237,-0.2225209339563141,-0.43388373911755757,-0.9009688679024194,-0.7818314824680304,0.6234898018587328,0.9601498736716018,-0.2794856348516094,-0.5366961939916003,-0.8437755598231858,-0.6601521206712321,0.7511319308705195,0.9057022630804713,0.423914390709861,0.1542040475626894,0.988039023376751,0.3047192331091634,0.9524422234305676,0.44794493940789115,0.8940611451454876,0.580454927809098,0.8142923779467267,0.6990793005655562,0.7150441465537444,0.8009803309782905,0.5986906625177214,0.8837203473619977,0.4680153284438345,0.945320046913132,0.3261441535642696,0.984305844499033,0.17647097349152166,0.9997451236925734,0.022576263041545485
