ds,daily_items_sold,daily_net_sales,avg_discount_rate_daily,is_mega_sale_day,is_payday,platform_name,scaled_discount_rate,is_weekend,lag_1_net_sales,lag_7_net_sales,lag_14_net_sales,lag_30_net_sales,lag_60_net_sales,rolling_7_net_sales,rolling_14_net_sales,daily_sales_growth_smoothed,daily_growth_rate,scaled_discount_on_event,fourier_week_fourier_1,fourier_week_fourier_2,fourier_week_fourier_3,fourier_week_fourier_4,fourier_week_fourier_5,fourier_week_fourier_6,fourier_month_fourier_1,fourier_month_fourier_2,fourier_month_fourier_3,fourier_month_fourier_4,fourier_month_fourier_5,fourier_month_fourier_6,fourier_month_fourier_7,fourier_month_fourier_8,fourier_year_fourier_1,fourier_year_fourier_2,fourier_year_fourier_3,fourier_year_fourier_4,fourier_year_fourier_5,fourier_year_fourier_6,fourier_year_fourier_7,fourier_year_fourier_8,fourier_year_fourier_9,fourier_year_fourier_10,fourier_year_fourier_11,fourier_year_fourier_12,fourier_year_fourier_13,fourier_year_fourier_14,fourier_year_fourier_15,fourier_year_fourier_16,fourier_year_fourier_17,fourier_year_fourier_18,fourier_year_fourier_19,fourier_year_fourier_20
2022-10-05,1.0,350.0,0.0,0,0,Lazada,0.0,0,6750.0,8164.0,14022.0,13157.0,10339.0,15455.857142857143,13313.714285714286,0.2236218377978583,-0.9481481481481482,0.0,-0.4338837391175218,-0.9009688679024366,0.7818314824679795,0.6234898018587965,-0.974927912181822,-0.22252093395632147,0.2546711202412336,-0.967027724791319,-0.49254806795387324,0.8702852410301503,0.6979441547663747,-0.7161521883143629,-0.8573146280763427,0.5147928015098133,0.26348932231871813,0.9646623124306364,0.5083564379375117,0.8611467540480454,0.7172952716008847,0.6967693257736114,0.8755389928586298,0.48314746401496944,0.9719036673475078,0.23537897398974478,0.9995786855478959,-0.029025013321973853,0.9566081051665105,-0.2913776469287554,0.8460288880917349,-0.5331370560318076,0.6756562619728756,-0.7372168036994551,0.4575313760742532,-0.8891934772070701
2022-10-06,0.0,0.0,0.0,0,0,Lazada,0.0,0,7143.0,13876.0,7418.0,7814.0,17709.0,10377.857142857143,12116.142857142857,2.4720347313184448,-1.0,0.0,-0.9749279121818067,-0.2225209339563884,0.43388373911769484,-0.9009688679023533,0.7818314824679587,0.6234898018588226,0.0514787547703495,-0.9986740898848303,-0.10282099713736631,0.9946998756145884,0.15389057670409867,-0.9880878960910714,-0.20455206612621246,0.9788556850953554,0.28004404847434183,0.9599871514317785,0.5376773767406127,0.843150661828201,0.752282698098721,0.6588404527207696,0.9066860720977971,0.42180607708266654,0.9885312610933429,0.15101637606963442,0.9912685467787268,-0.13185851571738255,0.9146788759587116,-0.4041813378607527,0.764891390434127,-0.6441592666722631,0.5538929381563789,-0.8325879011014357,0.2985688173637245,-0.9543881083175895
2022-10-07,0.0,0.0,0.0,0,0,Lazada,0.0,0,10519.0,10131.0,11875.0,21720.0,13375.0,7084.0,11510.57142857143,2.7283769436667096,-1.0,0.0,-0.7818314824680284,0.6234898018587353,-0.9749279121818246,-0.22252093395631,-0.4338837391175642,-0.9009688679024161,-0.15389057670406092,-0.9880878960910773,0.30411483232751624,0.9526353808033831,-0.4470937929850861,-0.8944870822288095,0.5794210982045608,0.8150283375168134,0.29651590509054826,0.9550279147901034,0.566361933081453,0.824156636056666,0.7852670068439949,0.6191572723971457,0.9335418911179217,0.3584683215124796,0.9978501244431207,0.06553723482760446,0.9724075561219973,-0.2332885440754534,0.8595025968555485,-0.5111313784131908,0.6692903895412547,-0.7430009249440511,0.41887941336973905,-0.9080418696596668,0.13079267585676627,-0.9914097417023029
2022-10-08,0.0,0.0,0.0,0,0,Lazada,0.0,1,3012.0,6750.0,12837.0,15918.0,7801.0,3967.714285714286,10146.57142857143,3.0920846560846558,-1.0,0.0,-3.331286885935436e-14,1.0,-6.662573771870872e-14,1.0,-9.993860657806308e-14,1.0,-0.3527520865490959,-0.9357168190404932,0.6601521206712335,0.7511319308705183,-0.8826787983255358,-0.46997674302734194,0.9917226741361022,0.12839835514654616,0.3129000178799544,0.9497860700235207,0.5943761565849826,0.8041871576214483,0.8161603698771184,0.5778254499777985,0.9559793438440761,0.2934339689665285,0.9997913581495419,-0.02042645758555212,0.9431964659565848,-0.33223549871590935,0.7918783711724253,-0.6106788397097992,0.5610336262283699,-0.8277930117131007,0.27384547484056115,-0.9617737030660318,-0.04084439154328633,-0.9991655196610113
2022-10-09,1.0,350.0,0.0,0,0,Lazada,0.0,1,7010.0,7143.0,34875.0,8117.0,13598.0,3954.8571428571427,9147.214285714286,-0.9875178316690452,-0.9500713266761769,0.0,0.7818314824679868,0.6234898018587873,0.9749279121818543,-0.2225209339561801,0.4338837391175394,-0.9009688679024281,-0.5366961939916033,-0.8437755598231839,0.9057022630804743,0.4239143907098547,-0.9917226741361039,0.12839835514653256,0.7678804460365916,-0.6405931786981853,0.3291915385199928,0.9442631682782295,0.6216868902665464,0.7832658619336802,0.8448805268402666,0.5349550405091195,0.9738922359149915,0.2270108209414221,0.9943406096530525,-0.10623912647794095,0.903946192922402,-0.4276462092677728,0.7127855825108563,-0.7013820024527713,0.4421681519670787,-0.8969321743510031,0.12226061766546903,-0.992498030913945,-0.21127575558216713,-0.9774264960104081
2022-10-10,0.0,0.0,0.0,0,0,Lazada,0.0,0,59794.0,10519.0,19700.0,10932.0,10539.0,11526.42857142857,9961.0,33.177985734664766,-1.0,0.0,0.9749279121818468,-0.22252093395621259,-0.43388373911736994,-0.9009688679025097,-0.7818314824679417,0.6234898018588441,-0.6979441547663271,-0.7161521883144094,0.9996684675143119,0.025747913655034618,-0.7338853664322075,0.6792733388972841,0.05147875477043856,-0.9986740898848258,0.3453856460876004,0.9384608438697114,0.64826180977571,0.7614175109533017,0.8713510040136413,0.4906601958631038,0.9871957872910075,0.15951325197264243,0.9815381791978484,-0.1912663137538141,0.8550745085896907,-0.5185051443911614,0.6233697106072852,-0.7819272369583947,0.31494162072896326,-0.9491110448902246,-0.03224895228930453,-0.9994798672690922,-0.37547037868760613,-0.9268343944460551
2022-10-11,2.0,660.0,0.0,0,0,Lazada,0.0,0,17470.0,3012.0,14695.0,9165.0,7944.0,12519.42857142857,9078.07142857143,33.1855415446247,-0.9622209502003435,0.0,0.4338837391175818,-0.9009688679024077,-0.7818314824680626,0.6234898018586924,0.9749279121818665,-0.2225209339561266,-0.829677013552623,-0.5582437220268586,0.9263239682514893,-0.37672789363519893,-0.20455206612626234,0.978855685095345,-0.697944154766365,-0.7161521883143724,0.36147754848581176,0.9323808137991084,0.6740694616546156,0.7386679638813752,0.8955013179435031,0.44505886078298573,0.9958270335100593,0.09126072172931339,0.9614787218710211,-0.2748793687952365,0.7971015927871955,-0.6038452208771019,0.5249257416559565,-0.8511480281049495,0.1817597875913783,-0.9833429613388897,-0.1859870643151508,-0.9825521929686137,-0.5285813283559141,-0.8488826652214647
2022-10-12,0.0,0.0,0.0,0,0,Lazada,0.0,0,660.0,0.0,6750.0,12891.0,10286.0,12183.42857142857,8075.571428571428,33.1855415446247,-1.0,0.0,-0.4338837391175024,-0.900968867902446,0.7818314824679526,0.6234898018588303,-0.9749279121818076,-0.22252093395638453,-0.9263239682514985,-0.3767278936351762,0.6979441547663299,-0.7161521883144066,0.40045390565121464,0.9163169044870274,-0.9996684675143122,0.02574791365502679,0.3774624838618099,0.926024877245138,0.6990793005655548,0.7150441465537458,0.917267163119859,0.3982724588294375,0.9997451236925733,0.02257626304154944,0.9343105477678233,-0.35646009640602133,0.730644496918498,-0.6827580970759081,0.41887941336973816,-0.9080418696596672,0.04514101777397984,-0.9989806246941575,-0.3352760024840106,-0.9421199510456945,-0.6660888558609618,-0.7458723993404199
2022-10-13,0.0,0.0,0.0,0,0,Lazada,0.0,0,9311.0,350.0,7143.0,13833.0,9670.0,12512.142857142857,8233.5,33.17555580995993,-1.0,0.0,-0.974927912181802,-0.2225209339564094,0.4338837391177337,-0.9009688679023345,0.7818314824679184,0.6234898018588731,-0.9837979515735134,-0.17928075881075217,0.35275208654912615,-0.9357168190404818,0.8573146280763064,0.5147928015098738,-0.6601521206712821,0.7511319308704756,0.39333572201604594,0.9193949150316831,0.7232617254437366,0.6905740195722316,0.9365905832039807,0.3504255690637132,0.998931513884858,-0.04621504698370196,0.9002345254573012,-0.4354053274532451,0.65641057619794,-0.7544038410927455,0.3067665664014996,-0.9517847833088289,-0.09233133369537848,-0.9957283388645884,-0.4765444837967748,-0.879150359701266,-0.783933816682906,-0.6208444016506648
2022-10-14,0.0,0.0,0.0,0,0,Lazada,0.0,0,7948.0,0.0,10519.0,10237.0,11072.0,5055.571428571428,8291.0,-0.9905552375500859,-1.0,0.0,-0.7818314824681127,0.6234898018586296,-0.9749279121817644,-0.22252093395657374,-0.43388373911750594,-0.9009688679024442,-0.9996684675143135,0.025747913654973878,-0.05147875477031721,-0.998674089884832,0.99701752644853,-0.07717546212660244,0.10282099713730199,0.994699875614595,0.4090925658019742,0.9124928890712286,0.7465881145324101,0.6652865452111149,0.9534201253498669,0.3016455943285832,0.9933900548258946,-0.11478762552211845,0.8595025968555408,-0.5111313784132039,0.5751899607119857,-0.8180198708443116,0.19021090117412814,-0.9817432521156059,-0.228057771221503,-0.9736476020539878,-0.6064130902482642,-0.7951497745554297,-0.8786374941610016,-0.4774894280028364
